expectedData,actualData,alertLevel 
95.64,28.94,99
95.37,25.86,99
95.16,25.7,99
94.95,24.97,99
94.8,24,99
94.65,22.47,99
94.55,20.43,99
94.43,19.84,99
94.33,19.87,99
94.22,20.37,99
94.19,19.83,99
94.14,18.75,99
94.07,18.26,99
93.99,17.33,99
93.92,17.47,99
93.88,17.94,99
93.87,18.59,99
93.89,18.12,99
93.92,18.62,99
93.96,19.13,99
93.98,19.75,99
94.01,20.09,99
94.06,20.58,99
94.09,20.97,99
94.1,20.65,99
94.11,20.31,99
94.09,20.32,99
94.08,20.01,99
94.04,18.8,99
94,17.83,99
93.98,18.15,99
93.94,18.72,99
93.95,19.04,99
93.98,19.32,99
94.02,19.34,99
94.03,19.39,99
94.05,19.58,99
94.09,19.83,99
94.12,20.45,99
94.14,21.1,99
94.19,21.6,99
94.23,22.29,99
94.27,22.77,99
94.3,22.69,99
94.32,21.77,99
94.33,21.28,99
94.33,21.99,99
94.34,23.48,99
94.37,23.88,99
94.41,23.74,99
94.45,24.36,99
94.46,24.31,99
94.46,21.98,99
94.43,23.35,99
94.4,23.68,99
94.38,21.6,99
94.36,21.62,99
94.33,21.41,99
94.29,21.52,99
94.26,21.06,99
94.25,20.63,99
94.24,20.83,99
94.24,21.23,99
94.23,20.78,99
94.27,20.55,99
94.3,21.64,99
94.34,22.24,99
94.39,22.52,99
94.45,23.04,99
94.51,24.46,99
94.57,25.91,99
94.63,26.1,99
92.63,10.07,99
92.59,10.05,99
92.55,9.91,99
92.49,9.81,99
92.41,8.45,99
92.33,7.51,99
92.26,7.46,99
92.2,7.4,99
92.18,7.32,99
92.18,6.36,99
92.19,6.58,99
92.24,8.15,99
92.31,8.15,99
92.38,8.91,99
92.42,9.22,99
92.44,8.14,99
92.44,7.76,99
92.44,7.78,99
92.46,7.37,99
92.51,8.51,99
92.57,9.72,99
92.63,9.64,99
92.69,9.88,99
92.71,10.89,99
92.7,8.05,99
92.68,10.03,99
92.63,9.82,99
92.57,9.71,99
92.5,9.2,99
