city,Date/Time,hs,hmax
ganzhou,2024-04-15 19:00:00,46.42,2200.0
ganzhou,2024-04-15 20:00:00,46.41,2190.0
ganzhou,2024-04-15 21:00:00,46.41,2190.0
ganzhou,2024-04-15 22:00:00,46.4,1920.0
ganzhou,2024-04-15 23:00:00,46.38,2120.0
ganzhou,2024-04-16 00:00:00,46.34,2170.0
ganzhou,2024-04-16 01:00:00,46.32,2170.0
ganzhou,2024-04-16 02:00:00,46.31,2070.0
ganzhou,2024-04-16 03:00:00,46.31,2060.0
ganzhou,2024-04-16 04:00:00,46.32,2060.0
ganzhou,2024-04-16 05:00:00,46.32,2010.0
ganzhou,2024-04-16 06:00:00,46.33,2000.0
ganzhou,2024-04-16 07:00:00,46.33,2110.0
ganzhou,2024-04-16 08:00:00,46.32,2110.0
ganzhou,2024-04-16 09:00:00,46.31,2120.0
ganzhou,2024-04-16 10:00:00,46.3,2120.0
ganzhou,2024-04-16 11:00:00,46.28,2120.0
ganzhou,2024-04-16 12:00:00,46.26,2630.0
ganzhou,2024-04-16 13:00:00,46.23,2580.0
ganzhou,2024-04-16 14:00:00,46.19,2520.0
ganzhou,2024-04-16 15:00:00,46.16,2480.0
ganzhou,2024-04-16 16:00:00,46.14,2450.0
ganzhou,2024-04-16 17:00:00,46.1,2390.0
ganzhou,2024-04-16 18:00:00,46.03,2280.0
ganzhou,2024-04-16 19:00:00,45.94,1960.0
ganzhou,2024-04-16 20:00:00,45.83,1920.0
ganzhou,2024-04-16 21:00:00,45.74,1930.0
ganzhou,2024-04-16 22:00:00,45.65,1950.0
ganzhou,2024-04-16 23:00:00,45.57,1960.0
ganzhou,2024-04-17 00:00:00,45.51,1970.0
ganzhou,2024-04-17 01:00:00,45.48,833.0
ganzhou,2024-04-17 02:00:00,45.48,839.0
ganzhou,2024-04-17 03:00:00,45.49,845.0
ganzhou,2024-04-17 04:00:00,45.51,851.0
ganzhou,2024-04-17 05:00:00,45.54,857.0
ganzhou,2024-04-17 06:00:00,45.56,864.0
ganzhou,2024-04-17 07:00:00,45.58,2180.0
ganzhou,2024-04-17 08:00:00,45.61,2230.0
ganzhou,2024-04-17 09:00:00,45.64,2270.0
ganzhou,2024-04-17 10:00:00,45.66,2300.0
ganzhou,2024-04-17 11:00:00,45.7,2360.0
ganzhou,2024-04-17 12:00:00,45.74,2420.0
ganzhou,2024-04-17 13:00:00,45.8,1940.0
ganzhou,2024-04-17 14:00:00,45.88,1970.0
ganzhou,2024-04-17 15:00:00,45.97,2010.0
ganzhou,2024-04-17 16:00:00,46.07,2710.0
