expectedData,actualData,alertLevel
17.43,4.06,23.5
17.42,4.04,23.5
17.42,4.04,23.5
17.41,4.03,23.5
17.41,4.03,23.5
17.4,4.02,23.5
17.4,4.02,23.5
17.39,4.01,23.5
17.39,4.01,23.5
17.38,3.99,23.5
17.38,3.99,23.5
17.38,3.99,23.5
17.37,3.98,23.5
17.38,3.99,23.5
17.43,4.06,23.5
17.43,4.06,23.5
17.44,4.07,23.5
17.45,4.08,23.5
17.47,4.11,23.5
17.5,4.14,23.5
17.51,4.16,23.5
17.54,4.2,23.5
17.57,4.24,23.5
17.59,4.26,23.5
17.63,4.31,23.5
17.66,4.35,23.5
17.68,4.38,23.5
17.7,4.41,23.5
17.73,4.44,23.5
17.8,4.54,23.5
17.87,4.63,23.5
17.91,4.68,23.5
17.97,4.76,23.5
18.02,4.83,23.5
18.05,4.89,23.5
18.1,4.98,23.5
18.14,5.05,23.5
18.19,5.14,23.5
18.23,5.22,23.5
18.28,5.31,23.5
18.33,6.48,23.5
18.37,6.56,23.5
18.41,6.65,23.5
18.44,6.72,23.5
18.47,6.78,23.5
18.5,6.85,23.5
18.49,6.83,23.5
18.49,6.83,23.5
18.49,6.83,23.5
18.49,6.83,23.5
18.5,6.85,23.5
18.5,6.85,23.5
18.5,6.85,23.5
18.51,6.87,23.5
18.53,6.91,23.5
18.53,6.91,23.5
18.57,7,23.5
18.59,7.04,23.5
18.61,7.09,23.5
18.63,7.13,23.5
18.64,7.15,23.5
18.66,7.2,23.5
18.67,7.22,23.5
18.71,7.31,23.5
18.73,7.36,23.5
18.74,7.39,23.5
18.75,7.42,23.5
18.76,7.44,23.5
18.76,7.44,23.5
18.75,7.42,23.5
18.75,7.42,23.5
18.73,7.36,23.5
