expectedData,actualData,alertLevel
26.6,3.46,33
26.6,3.46,33
26.59,3.45,33
26.59,3.45,33
26.59,3.45,33
26.59,3.45,33
26.59,3.45,33
26.61,3.52,33
26.62,3.58,33
26.64,3.69,33
26.64,3.69,33
26.64,3.69,33
26.63,3.63,33
26.63,3.63,33
26.72,4.07,33
26.72,4.07,33
26.75,4.11,33
26.75,4.11,33
26.77,4.13,33
26.79,4.15,33
26.82,4.18,33
26.8,4.16,33
26.81,4.17,33
26.81,4.17,33
26.82,4.18,33
26.86,4.22,33
27.14,6.57,33
27.09,6.36,33
27.11,6.55,33
27.08,6.17,33
27.08,6.17,33
27.08,6.17,33
27.08,6.17,33
27.09,6.36,33
27.14,6.57,33
27.13,6.56,33
27.14,6.57,33
27.11,6.55,33
27.11,6.55,33
27.1,6.55,33
27.08,6.17,33
27.08,6.17,33
27.08,6.17,33
27.08,6.17,33
27.08,5.26,33
27.08,5.26,33
26.92,5.1,33
26.97,5.15,33
27.01,5.19,33
27.08,4.26,33
27.11,4.29,33
27.17,4.35,33
27.2,4.38,33
27.25,4.43,33
27.28,4.46,33
27.29,4.47,33
27.3,4.48,33
27.3,4.48,33
27.31,4.49,33
27.31,4.49,33
27.31,4.49,33
27.31,4.49,33
27.3,4.48,33
27.25,4.85,33
27.25,4.85,33
27.22,4.81,33
27.16,4.75,33
27.12,4.72,33
27.09,4.69,33
27.03,4.63,33
